doc_id;lemma;writer
doc1;Бабель;Леонов
doc1;Булгаков;Леонов
doc1;Воронский;Леонов
doc1;Достоевский;Леонов
doc1;Коган;Леонов
doc1;Лесков;Леонов
doc1;Луначарский;Леонов
doc1;Федин;Леонов
doc12;Гладков;Ряховский
doc12;Серафимович;Ряховский
doc13;Гумилев;Вагинов
doc13;Сологуб;Вагинов
doc14;Лидин;Савич
doc14;Сейфуллина;Савич
doc14;Толстой;Савич
doc15;Бодлер;Пастернак
doc15;Малларме;Пастернак
doc15;Савич;Пастернак
doc15;Сологуб;Пастернак
doc15;Тихонов;Пастернак
doc16;Аверба­х;Эрлих
doc16;Ленин;Эрлих
doc16;Маркс;Эрлих
doc16;Блок;Эрлих
doc17;Гумилевский;Гумилевский
doc18;Гоголь;Мариенгоф
doc18;Олеша;Мариенгоф
doc18;Уайльд;Мариенгоф
doc18;Триоле;Мариенгоф
doc19;Шекспир;Толстой
doc2;Леонов;Федин
doc2;Толстой;Федин
doc2;Тургенев;Федин
doc20;Аверченко;Катаев
doc20;Белинский;Катаев
doc20;Бунин;Катаев
doc20;Зощенко;Катаев
doc20;Машбиц-Веров;Катаев
doc20;Ремарк;Катаев
doc20;Толстой;Катаев
doc21;Анненский;Кузмин
doc21;Боккаччио;Кузмин
doc21;Брюсов;Кузмин
doc21;Уайльд;Кузмин
doc21;Блок;Кузмин
doc23;Бабель;Пильняк
doc23;Булгаков;Пильняк
doc23;Гладков;Пильняк
doc23;Есенин;Пильняк
doc23;Зощенко;Пильняк
doc23;Ленин;Пильняк
doc23;Леонов;Пильняк
doc23;Оле­ша;Пильняк
doc23;Федин;Пильняк
doc24;Пильняк;Фибих
doc25;Бабель;Леонов
doc25;Олеша;Леонов
doc25;Достоевский;Леонов
doc26;Гельфанд;Панферов
doc26;Гладков;Панферов
doc26;Гомер;Панферов
doc26;До­стоевский;Панферов
doc26;Ленин;Панферов
doc26;Либединский;Панферов
doc26;Л. Толстой;Панферов
doc26;Леонов;Панферов
doc27;Бабель;Фадеев
doc27;Зощенко;Фадеев
doc27;Ката­ев;Фадеев
doc27;Ленин;Фадеев
doc27;Леонов;Фадеев
doc27;Либединский;Фадеев
doc27;Маркс;Фадеев
doc27;Олеша;Фадеев
doc27;Пильняк;Фадеев
doc27;Л. Толстой;Фадеев
doc27;Федин;Фадеев
doc27;Энгельс;Фадеев
doc28;Бабель;Олеша
doc28;Гёте;Олеша
doc28;Гладков;Олеша
doc28;Леонов;Олеша
doc28;Манн;Олеша
doc28;Панфе­ров;Олеша
doc28;Федин;Олеша
doc29;Авер­бах;Рыкачев
doc29;Троцкий;Рыкачев
doc3;Бальзак;Толстой
doc3;Л. Толстой;Толстой
doc3;Флобер;Толстой
doc30;Тургенев;Толстой
doc30;Эренбург;Толстой
doc31;Некрасов;Чуковский
doc31;Сергеева-Ценский;Чуковский
doc31;Блок;Чуковский
doc32;Андреев;Шагинян
doc32;Авербах;Шагинян
doc32;Евдокимов;Шагинян
doc32;Леонов;Шагинян
doc32;Пильняк;Шагинян
doc32;Пушкин;Шагинян
doc32;Рыкачев;Шагинян
doc32;Слонимский;Шагинян
doc32;Тихонов;Шагинян
doc33;Зощенко;Никитин
doc33;Каверин;Никитин
doc33;Олеша;Никитин
doc33;Сталин;Никитин
doc34;Мандельштам;Пастернак
doc34;Северянин;Пастернак
doc35;Авербах;Воронский
doc35;Безыменский;Воронский
doc35;Ленин;Воронский
doc35;Луна­чарский;Воронский
doc35;Л. Толстой;Воронский
doc35;Троцкий;Воронский
doc35;Шекспир;Воронский
doc36;Олеша;Митрофанов
doc36;Панферов;Митрофанов
doc36;Пильняк;Митрофанов
doc36;Ставский;Митрофанов
doc36;Фадеев;Митрофанов
doc36;Федин;Митрофанов
doc37;Мопассан;Бабель
doc4;Леонов;Мариенгоф
doc4;Леонтьев;Мариенгоф
doc4;Толстой;Мариенгоф
doc5;Коган;Гладков
doc5;Ленин;Гладков
doc5;Роллан;Гладков
doc6;Гоголь;Тынянов
doc6;Некрасов;Тынянов
doc6;Пушкин;Тынянов
doc6;Скотт;Тынянов
doc6;Сологуб;Тынянов
doc6;Л. Толстой;Тынянов
doc6;Тургенев;Тынянов
doc7;Глад­ков;Олеша
doc7;Гофман;Олеша
doc7;Либединский;Олеша
doc7;Ляшко;Олеша
doc7;Мариен­гоф;Олеша
doc7;Семенов;Олеша
doc7;Фадеев;Олеша
doc8;Воронский;Пильняк
doc8;Горький;Пильняк
doc8;Пушкин;Пильняк
doc9;Гоголь;Зощенко