Язык;Текст
Венгерский;"hegylánc közepén keresztültörve tetejéról talapjáig, négymértföldnyi messzeségben; kétoldalt hatszáz lábtól háromezerig emelkedó magas, egyenes sziklafalak, közepett az óvilág óriás folyama, az Ister: a Duna. A ránehezülö viztömeg törte-e magának e kaput, vagy a föld alatti túz repeszté kétfelé a hegyláncot? Neptun alkotta-e ezt, vagy Volcán? Vagy ketten együtt? A mú Istené! Ahhoz hasonlót még a mai istenutánzó kor vaskezü emberei sem birnak alkotni. Az egyik isten keze nyomait hirdetik a Fruska Gora hegy tetején elszórt tengercsigák kövületei, a Veterani-barlang ásatag tengerlakó saurusai;a másik istenröl beszélnek a bazaltok a Piatra Detonatán; a harmadikat, a vaskezü embert hirdeti a sziklába vágott hosszú padmalypart, egy országút, melynek boltozata is van; az óriási kóhíd oszlopmaradványai, az emléktábla a szikla oldalába dombormúként vésve, s a meder közepébe vágott százlábnyi széles csatorna, melyen nagyobb hajók járhatnak.A Vaskapunak kétezer éves históriája van, s négy nemzet."
Финский;Asun tyttöystäväni Maijan kanssa viisikerroksisessa kerrostalossa Helsingin Töölössä. Asumme ylimmässä kerroksessa - onneksi talossa on hissi! Asunto on kaksio: siinä on kaksi huonetta, keittiö ja kylpyhuone. Keittiö on aika pieni, eikä sinne mahdu ruokapöytää. Siksi ruokapöytä on olohuoneessa suuren ikkunan edessä. Olohuone on paljon isompi kuin keittiö. Siellä meillä on sohva ja sohvapöytä. Niiden alla on valkoinen matto. Sohvan yläpuolella on hieno taulu. Maija on itse maalannut taulun äitinsä kanssa. Sohvapöydän edessä on televisio. Television vieressä on kirjahylly. Hyllyssä on paljon kirjoja. Makuuhuoneessa on parisänky, yöpöydät ja nojatuoli. Yhdellä seinällä on suuri vaatekaappi. Kylpyhuone on sopivan kokoinen ja remontoitu. Sinne mahtuu myös pyykkikone.Asunnossa on myös lasitettu parveke. Sieltä on kaunis näköala puistoon. Parvekkeella meillä on pieni pöytä ja tuolit. Kesällä juomme usein aamukahvit parvekkeella.Meillä ei ole omaa saunaa asunnossa. Onneksi taloyhtiössä on sauna
Французский;"C’est le moment de croire que j’entends des pas dans le corridor », se dit Bernard. Il releva la tête et prêta l’oreille. Mais non : son père et son frère aîné étaient retenus au Palais ; sa mère en visite ; sa sœur à un concert ; et quant au puîné, le petit Caloub, une pension le bouclait au sortir du lycée chaque jour. Bernard Profitendieu était resté à la maison pour potasser son bachot ; il n’avait plus devant lui que trois semaines. La famille respectait sa solitude ; le démon pas. Bien que Bernard eût mis bas sa veste, il étouffait. Par la fenêtre ouverte sur la rue n’entrait rien que de la chaleur. Son front ruisselait. Une goutte de sueur coula le long de son nez, et s’en alla tomber sur une lettre qu’il tenait en main« Ça joue la larme, pensa-t-il. Mais mieux vaut suer que de pleurer. »  Oui, la date était péremptoire. Pas moyen de douter : c’est bien de lui, Bernard, qu’il s’agissait. La lettre était adressée à sa mère ; une lettre d’amour vieille de dix-sept ans ; non signée"
Испанский;"Yo, Juan Gallo de Andrada, escribano de Cámara del Rey nuestro señor, de los que residen en su Consejo, certifico y doy fe que, habiendo visto por los señores dél un libro intitulado El ingenioso hidalgo de la Mancha, compuesto por Miguel de Cervantes Saavedra, tasaron cada pliego del dicho libro a tres maravedís y medio; el cual tiene ochenta y tres pliegos, que al dicho precio monta el dicho libro docientos y noventa maravedís y medio, en que se ha de vender en papel; y dieron licencia para que a este precio se pueda vender, y mandaron que esta tasa se ponga al principio del dicho libro, y no se pueda vender sin ella. Y, para que dello conste, di la presente en Valladolid, a veinte días del mes de deciembre de mil y seiscientos y cuatro años. Este libro no tiene cosa digna que no corresponda a su original; en testimonio de lo haber correcto, di esta fee. En el Colegio de la Madre de Dios de los Teólogos de la Universidad de Alcalá, en primero de diciembre de 1604 años. El licenciado."
Итальянский;Augusto è uno degli alpini più anziani che ancora fa orgogliosamente parte del coro di paese. Ogni domenica mattina si trova, con i soliti compagni, nella piccola sala, dietro la chiesa, nella piazza principale. La moglie Marta preferisce andare a messa, mentre Augusto si scalda la voce prima di lanciare qualcuno dei suoi famosi acuti. Il coro prova già da diversi anni e sono davvero affiatati. Si conoscono dai tempi della scuola e hanno sempre tante cose da raccontarsi, solitamente prima di pranzo, al bar del paese, bevendo un bicchiere di vino e facendo anche una partita a carte. La vita scorre tranquilla per i coristi, che, una volta al mese organizzano una piacevole esibizione per tutti gli abitanti, i quali gradiscono e sono sempre presenti. L’unica preoccupazione di Augusto è quella di non riuscire a trovare giovani che abbiano voglia di far parte del coro, anche se nulla è perduto e qualche ragazzo avvistato in prima fila durante l’ultima esibizione, potrebbe essere un ottimo.
Английский;"You may say, we asked you to speak about women and fiction—what has that got to do with a room of one’s own? I will try to explain. When you asked me to speak about women and fiction I sat down on the banks of a river and began to wonder what the words meant. They might mean simply a few remarks about Fanny Burney; a few more about Jane Austen; a tribute to the Brontës and a sketch of Haworth Parsonage under snow; some witticisms if possible about Miss Mitford; a respectful allusion to George Eliot; a reference to Mrs Gaskell and one would have done. But at second sight the words seemed not so simple. The title women and fiction might mean, and you may have meant it to mean, women and what they are like; or it might mean women and the fiction that they write; or it might mean women and the fiction that is written about them; or it might mean that somehow all three are inextricably mixed together and you want me to consider them in that light. But when I began to consider the subject."
Хорватский;Bila je tiha i zvjezdana noć kada su na monitorima sigurnosnih centara diljem svijeta počele pojavljivati zlokobne poruke upozorenja. Ja sam Jin-ho, visoko rangirani analitičar mrežne sigurnosti sa sjedištem u Seoulu, i upravo sam spustio svoju šalicu kave kad se prvi alarm počeo treptati na mom monitoru. U roku nekoliko sekundi postalo mi je jasno da ovdje ne govorimo o uobičajenom sigurnosnom incidentu.Nidentificirani akter izvodio je visoko koordinirani napad na kritičnu infrastrukturu širom svijeta. Kako je opseg napada postajao sve jasniji, nazvao sam svoje kolege u Tokiju, Washingtonu i Londonu kako bih koordinirao globalni plan reakcije.Izazov je bio bez presedana, ali morali smo se fokusirati na preuzimanje kormila u ovoj globalnoj krizi. U sredini kaosa povezali smo se s ekspertima i vladama širom svijeta kako bismo raspravili o sljedećim koracima i koordinirali učinkovite protumjere. Ovaj masivni napad naglašava potrebu za suradnjom zemalja kako bi se kibernetički prostor učinio
Ирландский;Augtar inna h-ealathan sa Béid h-uasalsacart ecnaid fer ratha De i n-ecna i crabud. Fuair Beid dano forthachtaigthid .i. Alpin in t-ab ro h-airmitnech, in fer ro h-orcthe trisna h-uile disciplu 1 ina fer n-eolach Teodir epscoip Adrian inn abbad. Ar ro fogluind Alpin o descipluibh Griguir na h-í ro gnithe h-i cennuthaig Cantuariorum  Iris immorro intinscanta Merciorum Saxorum ra foglaim co r-raba side trésna dá h-uasalsacart Ceddi & Cedda & co ro h-athnuiged treotha iris na Saxan airtherach .i. o braithribh na manistrech ro chumtaiged leoi. Lestingaeu. Na h-í ro gnithe h-i cennathaig na Saxan airtherach aranic rainn de o thidnaicthib na n-arsatha, raind aile o atharcud inn abadh h-Essi. Na h-i immorro ro gnithe i l-leith ra h-iris Críst h-i cennathaig Lindis ro h-oglaind o guth biu in t-uasalsacart Cimbericht. Tidnacla immorro Nordanimbrorum .i. sencassa Saxan tuascertach, sochaide o fuair seom ro-s-tuc fein isna ferannaib comacraibhibh & ana fuair o sencassaib na littre nó o tidnacul
Исландский;Saga þeirra Hrafns og Gunnlaugs ormstungu eftir því sem sagt hefir Ari prestur hinn fróði Þorgilsson er mestur fræðimaður hefir verið á Íslandi á landnámasögur og forna fræði. Þorsteinn hét maður. Hann var Egilsson, Skalla-Grímssonar, Kveld-Úlfssonar hersis úr Noregi en Ásgerður hét móðir Þorsteins og var Bjarnardóttir.Þorsteinn bjó að Borg í Borgarfirði. Hann var auðigur að fé og höfðingi mikill, vitur maður og hógvær og hófsmaður um alla hluti. Engi var hann afreksmaður um vöxt eða afl sem Egill faðir hans því að svo er sagt af fróðum mönnum að Egill hafi mestur kappi verið á Íslandi og hólmgöngumaður og mest ætlað af bóndasonum, fræðimaður var hann og mikill og manna vitrastur. Þorsteinn var og hið mesta afarmenni og vinsæll af allri alþýðu. Þorsteinn var vænn maður, hvítur á hár og eygur manna best. Svo segja fróðir menn að margir í ætt Mýramanna, þeir sem frá Egli eru komnir, hafi verið menn vænstir en það sé þó mjög sundurgreinilegt því að sumir í þeirri ætt er kallað að ljótastir
Немецкий;Wie froh bin ich, daß ich weg bin! Bester Freund, was ist das Herz des Menschen! Dich zu verlassen, den ich so liebe, von dem ich unzertrennlich war, und froh zu sein! Ich weiß, du verzeihst mir‘s. Waren nicht meine übrigen Verbindungen recht ausgesucht vom Schicksal, um ein Herz wie das meine zu ängstigen? Die arme Leonore! Und doch war ich unschuldig. Konnt‘ ich dafür, daß, während die eigensinnigen Reize ihrer Schwester mir eine angenehme Unterhaltung verschafften, daß eine Leidenschaft in dem armen Herzen sich bildete? Und doch - bin ich ganz unschuldig? Hab‘ ich nicht ihre Empfindungen genährt? Hab‘ ich mich nicht an den ganz wahren Ausdrücken der Natur, die uns so oft zu lachen machten, so wenig lächerlich sie waren, selbst ergetzt? Hab‘ ich nicht - o was ist der Mensch, daß er über sich klagen darf! Ich will, lieber Freund, ich verspreche dir‘s, ich will mich bessern, will nicht mehr ein bißchen Übel, das uns das Schicksal vorlegt, wie- derkäuen, wie ich‘s immer getan.
Латышский;Vecos laikos dzīvoja tirgotājs. Tas bija aplam bagāts: viņam bija deviņdesmit deviņas pārdotavas un deviņdesmit deviņi nami. Viņam arī bija dēls un pats jau bija stipri vecs. Kad tirgotājs redzēja, ka nāca pie miršanas, tad ataicināja savu vienu vienīgu dēlu un sacīja: „Mans dēls! Bagātība tev ir pārpilnam — tikai paklausi, ko es tev teikšu. Pa ūdeņiem nebrauc! Ja brauksi, klāsies nelāgi.” Tēvs nomira un viņu paglabāja. Dēls tirgojās gadi trīs un nu bodes viņam jau nāk izpirktas. Te pašu laiku atbrauc divi kuģi ar dažādām precēm. Tirgotāja dēls nopirka abi divi kuģus: „Vai nevarat vēl atvest desmit kuģu ar precēm? Visu atpirkšu.” Jūrnieki atbild: „Mēs vairāk nevaram jums vest — mūs sūta ķēniņš. Brauciet mums līdz — gan ķēniņš jums dos.” Viņš prātoja, prātoja un nodomāja: tie tikai būšot nieki, ka viņš nevarot pa ūdeni braukt — un saspērās un aizbrauca ar jūrniekiem. Nobrauca uz aizjūru, pietilpa kuģus daždažādām precēm un nu tikai gāja vēl pie ķēniņa parakstīties un par precēm aizmaksāt.